Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-06-25,1155,1155.99,1119.9,1139.28,2884131
2018-06-26,1144.14,1146.87,1129,1132.62,1734414
2018-06-27,1136,1146.21,1116.7,1116.94,1726866
2018-06-28,1112.39,1134,1106.07,1126.78,1486675
2018-06-29,1132.31,1141.36,1127.02,1129.19,1578116
2018-07-02,1115.35,1142.99,1106.6,1142.11,1161040
2018-07-03,1149.42,1149.91,1114.43,1116.28,822394
2018-07-05,1124.6,1144.14,1123.12,1141.29,1429710
2018-07-06,1141.77,1156.2,1137.24,1155.08,1090967
2018-07-09,1160,1167.93,1157.23,1167.28,1079201
2018-07-10,1169.99,1173.5,1162.56,1167.14,1066704
2018-07-11,1155.62,1180.44,1155.37,1171.46,1662633
2018-07-12,1174.86,1201.99,1173.1,1201.26,2207431
2018-07-13,1202.8,1210.44,1195.29,1204.42,1631857
2018-07-16,1203.81,1208.71,1193.4,1196.51,1339237
2018-07-17,1182.74,1218.76,1182,1213.08,2008133
2018-07-18,1208.53,1221.59,1204.56,1212.91,1947397
2018-07-19,1206.65,1216.48,1197.73,1199.1,1916892
2018-07-20,1199.24,1210.77,1196.59,1197.88,1898376
2018-07-23,1195.66,1215.1,1192.01,1211,3272304
2018-07-24,1271,1275,1244.14,1258.15,5380032
2018-07-25,1252.62,1278.24,1249.05,1275.94,2575437
2018-07-26,1267.18,1287.4,1263,1285.5,2734302
2018-07-27,1289.12,1291.44,1244.5,1252.89,2418090
2018-07-30,1245.05,1252.89,1224.17,1230.04,2194837
2018-07-31,1231.71,1241.21,1216.19,1227.22,1969111
2018-08-01,1239.11,1245.9,1224.94,1232.99,1849740
2018-08-02,1218.5,1244.41,1218.06,1241.13,1735180
2018-08-03,1245.18,1246.52,1229.42,1238.16,1063244
2018-08-06,1241.61,1242.46,1230.53,1237.67,1105916
2018-08-07,1252.01,1266.08,1251.8,1255.84,2125256
2018-08-08,1256.72,1271.72,1252.12,1261.33,1718664
2018-08-09,1262.73,1271.96,1260.1,1264.46,1366318
2018-08-10,1259.18,1261.2,1247.16,1252.51,1334387
2018-08-13,1251.2,1265.97,1247.03,1248.64,1380882
2018-08-14,1252.5,1260.59,1239.54,1258.14,1403991
2018-08-15,1244.28,1251.98,1226.25,1232.22,1852558
2018-08-16,1241.99,1243.7,1219.63,1224.06,1608799
2018-08-17,1222.04,1226.95,1204,1215.85,1654629
2018-08-20,1220.66,1225.91,1208.7,1221.95,1111173
2018-08-21,1223.02,1232.76,1215.03,1217.41,1154093
2018-08-22,1214.22,1226.53,1213.22,1221.75,1114832
2018-08-23,1219.88,1235.17,1219.35,1221.16,1233347
2018-08-24,1226,1237.4,1221.42,1236.75,1222653
2018-08-27,1244.14,1257.87,1240.68,1256.27,1428992
2018-08-28,1255.9,1256.56,1242.97,1245.86,1366516
2018-08-29,1255,1267.17,1252.8,1264.65,1846615
2018-08-30,1263.4,1269.49,1247.21,1254.44,1505219
2018-08-31,1252.21,1252.55,1225.75,1231.8,2115424
2018-09-04,1222.52,1227.87,1206.56,1211.31,2072869
2018-09-05,1209.22,1214.87,1175.34,1199.1,2699394
2018-09-06,1198.57,1198.99,1163.61,1183.99,2342722
2018-09-07,1172,1188.55,1169.27,1177.59,1633190
2018-09-10,1184.2,1186.66,1170.61,1175.06,1383938
2018-09-11,1171.1,1190.94,1165.95,1189.99,1462688
2018-09-12,1182,1190.69,1166.16,1171.6,1785833
2018-09-13,1179.7,1187.86,1169.22,1182.14,2003418
2018-09-14,1188,1188,1173.52,1177.98,1208767
2018-09-17,1177.77,1181.82,1158.46,1159.83,1704790
2018-09-18,1162.66,1181.33,1161.43,1167.11,1615701
2018-09-19,1168.96,1176.27,1158.62,1174.27,1298084
2018-09-20,1180.67,1194,1176.25,1191.57,1462455
2018-09-21,1194.92,1196.58,1172.06,1172.12,4561119
2018-09-24,1159.41,1185.19,1151.5,1179.56,1557479
2018-09-25,1184.25,1196.86,1174.09,1193.89,1657809
2018-09-26,1193.69,1207.24,1185.4,1194.06,1882524
2018-09-27,1200,1216.86,1198.05,1207.36,1813652
2018-09-28,1204.09,1208.45,1197.83,1207.08,1780759
2018-10-01,1213,1224.2,1203.19,1208.53,1659364
2018-10-02,1206.67,1224.52,1199.66,1207.64,2008956
2018-10-03,1212,1214.18,1202.15,1211.53,1312686
2018-10-04,1205.03,1205.9,1163.85,1177.07,2328778
2018-10-05,1176,1182,1154.32,1167.83,1593012
2018-10-08,1160,1175.86,1135.4,1155.92,2309539
2018-10-09,1151.31,1161.55,1144.17,1145.17,1684728
2018-10-10,1136.4,1137.02,1091.51,1092.16,2949006
2018-10-11,1079.04,1116.06,1075.89,1090.74,3384775
2018-10-12,1119.64,1125.83,1095.03,1120.54,2468920
